Adam;24.12.2015
Adéla;02.09.2015
Adolf;17.06.2015
Adrian;26.06.2015
Adriana;26.06.2015
Agáta;14.10.2015
Alan;14.08.2015
Albert;21.11.2015
Albína;16.12.2015
Alena;13.08.2015
Aleš;13.04.2015
Alexandr;27.02.2015
Alexandra;21.04.2015
Alexej;03.05.2015
Alice;15.01.2015
Alina;28.07.2015
Alois;21.06.2015
Alžběta;19.11.2015
Amálie;10.07.2015
Ambrož;07.12.2015
Anastázie;15.04.2015
Anděla;11.03.2015
Andrea;26.09.2015
Andrej;11.10.2015
Aneta;17.05.2015
Anežka;02.03.2015
Anna;26.07.2015
Anton;13.06.2015
Antonie;12.06.2015
Antonín;13.06.2015
Apolena;09.02.2015
Arnošt;30.03.2015
Artur;26.11.2015
Augustýn;28.08.2015
Barbara;04.12.2015
Barbora;04.12.2015
Bartoloměj;24.08.2015
Bastian;20.01.2015
Beáta;25.10.2015
Beatrice;29.07.2015
Bedřich;01.03.2015
Běla;21.01.2015
Benedikt;12.11.2015
Benjamín;07.12.2015
Bernard;20.08.2015
Bernd;20.08.2015
Bernhard;20.08.2015
Berta;23.09.2015
Bibiana;02.12.2015
Blahoslav;30.04.2015
Blanka;02.12.2015
Blažej;03.02.2015
Blažena;10.05.2015
Bohdan;09.11.2015
Bohdana;11.01.2015
Bohumil;03.10.2015
Bohumila;28.12.2015
Bohumír;08.11.2015
Bohuslav;22.08.2015
Bohuslava;07.07.2015
Boleslav;06.09.2015
Bonifác;14.05.2015
Boris;05.09.2015
Bořek;12.07.2015
Bořivoj;30.07.2015
Božena;11.02.2015
Božíhodvánoční;25.12.2015
Brigita;21.10.2015
Bronislav;03.09.2015
Bruno;11.06.2015
Břetislav;10.01.2015
Cecílie;22.11.2015
Ctibor;09.05.2015
Ctirad;16.01.2015
Čeněk;19.07.2015
Čestmír;08.01.2015
Dagmar;20.12.2015
Dalibor;04.06.2015
Dalimil;05.01.2015
Dan;17.12.2015
Dana;11.12.2015
Danica;26.01.2015
Daniel;17.12.2015
Daniela;09.09.2015
Danuše;11.12.2015
Darina;22.09.2015
Darja;10.04.2015
David;30.12.2015
Dávid;30.12.2015
DenCyrilaaMetoděje;05.07.2015
Denisa;11.09.2015
DenosvobozeníČSR;08.05.2015
Diana;04.01.2015
Dita;27.03.2015
Dobromila;05.02.2015
Dobroslav;05.06.2015
Dominik;04.08.2015
Dominika;04.08.2015
Dorota;26.02.2015
Doubravka;19.01.2015
Drahomíra;18.07.2015
Drahoslav;17.01.2015
Drahoslava;09.07.2015
Dušan;09.04.2015
Edita;13.01.2015
Eduard;18.03.2015
Elena;16.03.2015
Eliška;05.10.2015
Ema;08.04.2015
Emanuel;26.03.2015
Emil;22.05.2015
Emílie;24.11.2015
Erik;26.10.2015
Erika;02.04.2015
Ester;19.12.2015
Eva;24.12.2015
Evelína;29.08.2015
Evžen;10.11.2015
Evženie;22.04.2015
Felix;01.11.2015
Ferdinand;30.05.2015
Filip;26.05.2015
František;04.10.2015
Františka;09.03.2015
Gábina;08.03.2015
Gabriel;24.03.2015
Gabriela;08.03.2015
Gita;10.06.2015
Gizela;18.02.2015
Gregor;12.03.2015
Gustav;02.08.2015
Hana;15.08.2015
Hanka;15.08.2015
Hanuš;06.10.2015
Havel;16.10.2015
Hedvika;17.10.2015
Helena;18.08.2015
Herbert;16.03.2015
